time	Sleeping	Eating and drinking	Housework	Food preparation and cleanup	Lawn and garden care	Household management	Consumer goods purchases	Professional and personal care services	Caring for and helping household children	Caring for and helping nonhousehold adults	Working	Attending class	Homework and research	Religious and spiritual activities	Volunteering (organizational and civic activities)	Socializing and communicating	Watching television	Participating in sports, exercise, and recreation	Telephone calls, mail, and e-mail	Other activities, not elsewhere classified
12 AM	84.5	0.6	0.2	0.1	0	0.1	0.1	0	0.2	0	1.9	0	0.2	0.1	0.1	1.1	4.6	0.2	0.4	0.3
1 AM	91.5	0.3	0.1	0.1	0	0.1	0	0	0.2	0	1.6	0	0.2	0	0	0.7	2.1	0.1	0.2	0.1
2 AM	94.3	0.3	0.1	0.1	0	0	0	0	0.2	0	1.3	0	0.1	0	0	0.3	1.2	0.1	0.1	0.1
3 AM	95.2	0.3	0	0.1	0	0	0	0	0.2	0	1.3	0	0	0.1	0	0.2	0.7	0	0.1	0.1
4 AM	91.7	0.5	0.1	0.4	0	0	0	0	0.4	0	1.9	0	0.1	0.1	0	0.1	0.8	0.1	0.1	0.2
5 AM	85.2	1.2	0.3	0.9	0	0.1	0	0	0.3	0	2.7	0	0.1	0.2	0	0.1	1.3	0.3	0.1	0.3
6 AM	65.7	3.2	0.8	2.4	0.1	0.2	0.1	0	1.2	0.1	5.7	0	0.1	0.4	0.1	0.2	2.0	1.0	0.2	0.6
7 AM	42.4	6.2	1.8	3.6	0.4	0.4	0.2	0.1	2.6	0.1	11.8	0.4	0.2	0.5	0.2	0.7	3.3	1.2	0.4	1.1
8 AM	24.8	7.3	3.6	3.6	0.9	0.6	0.5	0.3	2.1	0.2	21.3	2.5	0.3	0.7	0.5	1.0	4.4	1.6	0.6	1.3
9 AM	13.7	6.7	5.4	3.2	1.5	0.8	1.1	0.7	1.9	0.3	26.9	3.4	0.5	1.2	0.9	1.4	5.8	1.9	0.7	1.4
10 AM	7.5	5.3	6.2	2.6	1.9	0.9	2.3	0.9	1.8	0.5	28.6	3.6	0.7	1.9	1.3	2.3	7.0	2.0	0.8	1.6
11 AM	4.9	6.2	6.0	2.8	1.9	0.9	3.1	1.0	1.7	0.5	29.2	3.3	0.9	2.2	1.3	2.7	8.1	1.9	0.9	1.6
12 PM	3.5	16.2	4.7	3.5	1.6	0.9	3.5	0.8	1.5	0.6	22.3	2.7	0.8	1.4	1.0	2.9	8.2	1.7	0.8	1.5
1 PM	4.1	11.0	4.4	2.7	1.8	0.8	3.6	0.8	1.6	0.5	26.0	2.9	0.8	0.7	0.9	3.5	9.6	1.9	0.8	1.6
2 PM	4.4	6.1	4.2	2.4	1.8	0.9	3.6	0.7	1.8	0.5	28.1	2.9	0.9	0.5	0.9	4.2	10.8	1.9	0.9	1.6
3 PM	4.2	4.4	3.8	2.9	1.6	0.9	3.4	0.7	2.5	0.5	26.7	1.4	1.1	0.4	0.8	4.8	11.7	2.2	1.0	1.7
4 PM	3.7	4.8	3.5	4.7	1.4	0.8	3.1	0.6	2.8	0.5	22.5	0.5	1.3	0.4	0.8	5.3	13.5	2.3	1.0	1.6
5 PM	2.9	9.1	2.7	7.8	1.2	0.8	2.8	0.4	2.9	0.5	14.6	0.3	1.3	0.5	0.8	5.7	14.7	2.3	1.1	1.4
6 PM	2.5	15.5	2.1	8.3	1.0	0.7	2.5	0.3	3.0	0.5	8.8	0.4	1.1	0.7	1.0	6.2	18.4	2.2	1.0	1.3
7 PM	3.0	13.9	2.2	5.7	0.7	0.6	1.9	0.1	3.8	0.3	6.8	0.4	1.2	0.9	1.2	6.5	25.6	2.1	1.2	1.2
8 PM	5.5	8.7	1.9	3.1	0.4	0.7	1.3	0.1	4.2	0.2	5.7	0.4	1.2	0.9	1.0	6.3	33.9	1.6	1.3	1.3
9 PM	15.9	4.5	1.6	1.7	0.1	0.6	0.7	0	2.9	0.2	5.0	0.2	1.1	0.6	0.5	5.1	35.2	0.9	1.3	1.2
10 PM	39.9	2.1	0.9	0.7	0	0.4	0.3	0	1.2	0.1	3.9	0.1	0.9	0.3	0.2	3.6	25.4	0.4	1.2	0.8
11 PM	67.6	1.0	0.4	0.3	0	0.2	0.2	0	0.4	0.1	2.8	0	0.5	0.2	0.1	2.2	12.0	0.2	0.6	0.5
